DATETIME,LOAD
02APR2013:21:30:00,1303
02APR2013:21:45:00,1286
02APR2013:22:00:00,1275
02APR2013:22:15:00,1255
02APR2013:22:30:00,1249
02APR2013:22:45:00,1232
02APR2013:23:00:00,1218
02APR2013:23:15:00,1206
02APR2013:23:30:00,1191
02APR2013:23:45:00,1167
03APR2013:00:00:00,1146
03APR2013:00:15:00,1111
03APR2013:00:30:00,1076
03APR2013:00:45:00,1045
03APR2013:01:00:00,1017
03APR2013:01:15:00,994
03APR2013:01:30:00,967
03APR2013:01:45:00,946
03APR2013:02:00:00,928
03APR2013:02:15:00,915
03APR2013:02:30:00,904
03APR2013:02:45:00,894
03APR2013:03:00:00,883
03APR2013:03:15:00,878
03APR2013:03:30:00,871
03APR2013:03:45:00,857
03APR2013:04:00:00,852
03APR2013:04:15:00,847
03APR2013:04:30:00,846
03APR2013:04:45:00,842
03APR2013:05:00:00,843
03APR2013:05:15:00,851
03APR2013:05:30:00,859
03APR2013:05:45:00,877
03APR2013:06:00:00,897
03APR2013:06:15:00,925
03APR2013:06:30:00,936
03APR2013:06:45:00,934
03APR2013:07:00:00,942
03APR2013:07:15:00,959
03APR2013:07:30:00,981
03APR2013:07:45:00,1006
03APR2013:08:00:00,1032
03APR2013:08:15:00,1067
03APR2013:08:30:00,1102
03APR2013:08:45:00,1144
03APR2013:09:00:00,1194
03APR2013:09:15:00,1238
03APR2013:09:30:00,1278
03APR2013:09:45:00,1318
03APR2013:10:00:00,1366
03APR2013:10:15:00,1400
03APR2013:10:30:00,1419
03APR2013:10:45:00,1445
03APR2013:11:00:00,1461
03APR2013:11:15:00,1469
03APR2013:11:30:00,1471
03APR2013:11:45:00,1480
03APR2013:12:00:00,1479
03APR2013:12:15:00,1477
03APR2013:12:30:00,1475
03APR2013:12:45:00,1454
03APR2013:13:00:00,1441
03APR2013:13:15:00,1398
03APR2013:13:30:00,1377
03APR2013:13:45:00,1380
03APR2013:14:00:00,1377
03APR2013:14:15:00,1384
03APR2013:14:30:00,1392
03APR2013:14:45:00,1394
03APR2013:15:00:00,1394
03APR2013:15:15:00,1393
03APR2013:15:30:00,1387
03APR2013:15:45:00,1381
03APR2013:16:00:00,1378
03APR2013:16:15:00,1382
03APR2013:16:30:00,1380
03APR2013:16:45:00,1375
03APR2013:17:00:00,1372
03APR2013:17:15:00,1375
03APR2013:17:30:00,1358
03APR2013:17:45:00,1349
03APR2013:18:00:00,1331
03APR2013:18:15:00,1307
03APR2013:18:30:00,1305
03APR2013:18:45:00,1307
03APR2013:19:00:00,1331
03APR2013:19:15:00,1379
03APR2013:19:30:00,1406
03APR2013:19:45:00,1413
03APR2013:20:00:00,1415
03APR2013:20:15:00,1403
03APR2013:20:30:00,1386
03APR2013:20:45:00,1372
03APR2013:21:00:00,1357
03APR2013:21:15:00,1333
03APR2013:21:30:00,1313
03APR2013:21:45:00,1289
03APR2013:22:00:00,1273
03APR2013:22:15:00,1251
03APR2013:22:30:00,1248
03APR2013:22:45:00,1239
03APR2013:23:00:00,1230
03APR2013:23:15:00,1209
03APR2013:23:30:00,1190
03APR2013:23:45:00,1163
04APR2013:00:00:00,1136
04APR2013:00:15:00,1099
04APR2013:00:30:00,1068
04APR2013:00:45:00,1034
04APR2013:01:00:00,1010
04APR2013:01:15:00,982
04APR2013:01:30:00,961
04APR2013:01:45:00,945
04APR2013:02:00:00,925
04APR2013:02:15:00,909
04APR2013:02:30:00,897
04APR2013:02:45:00,891
04APR2013:03:00:00,880
04APR2013:03:15:00,871
04APR2013:03:30:00,864
04APR2013:03:45:00,855
04APR2013:04:00:00,849
04APR2013:04:15:00,842
04APR2013:04:30:00,839
04APR2013:04:45:00,842
04APR2013:05:00:00,836
04APR2013:05:15:00,844
04APR2013:05:30:00,852
04APR2013:05:45:00,866
04APR2013:06:00:00,888
04APR2013:06:15:00,911
04APR2013:06:30:00,925
04APR2013:06:45:00,924
04APR2013:07:00:00,934
04APR2013:07:15:00,956
04APR2013:07:30:00,986
04APR2013:07:45:00,1005
04APR2013:08:00:00,1031
04APR2013:08:15:00,1078
04APR2013:08:30:00,1123
04APR2013:08:45:00,1156
04APR2013:09:00:00,1200
04APR2013:09:15:00,1254
04APR2013:09:30:00,1296
04APR2013:09:45:00,1332
04APR2013:10:00:00,1377
04APR2013:10:15:00,1409
04APR2013:10:30:00,1435
04APR2013:10:45:00,1473
04APR2013:11:00:00,1492
04APR2013:11:15:00,1507
04APR2013:11:30:00,1514
04APR2013:11:45:00,1520
04APR2013:12:00:00,1518
04APR2013:12:15:00,1515
04APR2013:12:30:00,1511
04APR2013:12:45:00,1493
04APR2013:13:00:00,1475
04APR2013:13:15:00,1438
04APR2013:13:30:00,1417
04APR2013:13:45:00,1416
04APR2013:14:00:00,1417
04APR2013:14:15:00,1429
04APR2013:14:30:00,1441
04APR2013:14:45:00,1448
04APR2013:15:00:00,1446
04APR2013:15:15:00,1447
04APR2013:15:30:00,1448
04APR2013:15:45:00,1441
04APR2013:16:00:00,1441
04APR2013:16:15:00,1445
04APR2013:16:30:00,1442
04APR2013:16:45:00,1442
04APR2013:17:00:00,1431
04APR2013:17:15:00,1432
04APR2013:17:30:00,1411
04APR2013:17:45:00,1399
04APR2013:18:00:00,1384
04APR2013:18:15:00,1366
04APR2013:18:30:00,1349
04APR2013:18:45:00,1352
04APR2013:19:00:00,1367
04APR2013:19:15:00,1417
04APR2013:19:30:00,1445
04APR2013:19:45:00,1451
04APR2013:20:00:00,1451
04APR2013:20:15:00,1434
04APR2013:20:30:00,1423
04APR2013:20:45:00,1412
04APR2013:21:00:00,1394
04APR2013:21:15:00,1370
04APR2013:21:30:00,1346
04APR2013:21:45:00,1327
04APR2013:22:00:00,1312
04APR2013:22:15:00,1291
04APR2013:22:30:00,1290
04APR2013:22:45:00,1288
04APR2013:23:00:00,1283
04APR2013:23:15:00,1265
04APR2013:23:30:00,1253
04APR2013:23:45:00,1230
05APR2013:00:00:00,1194
05APR2013:00:15:00,1157
05APR2013:00:30:00,1127
05APR2013:00:45:00,1094
05APR2013:01:00:00,1067
05APR2013:01:15:00,1039
05APR2013:01:30:00,1011
05APR2013:01:45:00,979
05APR2013:02:00:00,963
05APR2013:02:15:00,944
05APR2013:02:30:00,928
05APR2013:02:45:00,916
05APR2013:03:00:00,909
05APR2013:03:15:00,899
05APR2013:03:30:00,890
05APR2013:03:45:00,881
05APR2013:04:00:00,875
05APR2013:04:15:00,868
05APR2013:04:30:00,863
05APR2013:04:45:00,860
05APR2013:05:00:00,865
05APR2013:05:15:00,869
05APR2013:05:30:00,879
05APR2013:05:45:00,893
05APR2013:06:00:00,912
05APR2013:06:15:00,937
05APR2013:06:30:00,950
05APR2013:06:45:00,951
05APR2013:07:00:00,955
05APR2013:07:15:00,972
05APR2013:07:30:00,997
05APR2013:07:45:00,1020
05APR2013:08:00:00,1050
05APR2013:08:15:00,1089
05APR2013:08:30:00,1132
05APR2013:08:45:00,1173
05APR2013:09:00:00,1223
05APR2013:09:15:00,1273
05APR2013:09:30:00,1322
05APR2013:09:45:00,1369
05APR2013:10:00:00,1410
05APR2013:10:15:00,1450
05APR2013:10:30:00,1474
05APR2013:10:45:00,1501
05APR2013:11:00:00,1520
05APR2013:11:15:00,1532
05APR2013:11:30:00,1546
05APR2013:11:45:00,1552
05APR2013:12:00:00,1552
05APR2013:12:15:00,1547
05APR2013:12:30:00,1541
05APR2013:12:45:00,1533
05APR2013:13:00:00,1516
05APR2013:13:15:00,1476
05APR2013:13:30:00,1446
05APR2013:13:45:00,1436
05APR2013:14:00:00,1433
05APR2013:14:15:00,1446
05APR2013:14:30:00,1456
05APR2013:14:45:00,1460
05APR2013:15:00:00,1466
05APR2013:15:15:00,1469
05APR2013:15:30:00,1469
05APR2013:15:45:00,1466
05APR2013:16:00:00,1456
05APR2013:16:15:00,1463
05APR2013:16:30:00,1456
05APR2013:16:45:00,1457
05APR2013:17:00:00,1457
05APR2013:17:15:00,1453
05APR2013:17:30:00,1439
05APR2013:17:45:00,1427
05APR2013:18:00:00,1413
05APR2013:18:15:00,1395
05APR2013:18:30:00,1385
05APR2013:18:45:00,1389
05APR2013:19:00:00,1406
05APR2013:19:15:00,1457
05APR2013:19:30:00,1494
05APR2013:19:45:00,1500
05APR2013:20:00:00,1496
05APR2013:20:15:00,1488
05APR2013:20:30:00,1471
05APR2013:20:45:00,1459
05APR2013:21:00:00,1438
05APR2013:21:15:00,1410
05APR2013:21:30:00,1390
05APR2013:21:45:00,1379
05APR2013:22:00:00,1369
05APR2013:22:15:00,1352
05APR2013:22:30:00,1344
05APR2013:22:45:00,1328
05APR2013:23:00:00,1326
05APR2013:23:15:00,1317
05APR2013:23:30:00,1304
05APR2013:23:45:00,1285
06APR2013:00:00:00,1261
06APR2013:00:15:00,1224
06APR2013:00:30:00,1193
06APR2013:00:45:00,1158
06APR2013:01:00:00,1129
06APR2013:01:15:00,1095
06APR2013:01:30:00,1065
06APR2013:01:45:00,1033
06APR2013:02:00:00,1012
06APR2013:02:15:00,997
06APR2013:02:30:00,985
06APR2013:02:45:00,969
06APR2013:03:00:00,958
06APR2013:03:15:00,941
06APR2013:03:30:00,928
06APR2013:03:45:00,915
06APR2013:04:00:00,906
06APR2013:04:15:00,902
06APR2013:04:30:00,897
06APR2013:04:45:00,891
06APR2013:05:00:00,888
06APR2013:05:15:00,893
06APR2013:05:30:00,899
06APR2013:05:45:00,908
06APR2013:06:00:00,919
06APR2013:06:15:00,931
06APR2013:06:30:00,936
06APR2013:06:45:00,930
06APR2013:07:00:00,934
06APR2013:07:15:00,945
06APR2013:07:30:00,961
06APR2013:07:45:00,985
06APR2013:08:00:00,1011
06APR2013:08:15:00,1042
06APR2013:08:30:00,1089
06APR2013:08:45:00,1136
06APR2013:09:00:00,1184
06APR2013:09:15:00,1225
06APR2013:09:30:00,1279
06APR2013:09:45:00,1331
06APR2013:10:00:00,1372
06APR2013:10:15:00,1416
06APR2013:10:30:00,1445
06APR2013:10:45:00,1471
06APR2013:11:00:00,1492
06APR2013:11:15:00,1507
06APR2013:11:30:00,1520
06APR2013:11:45:00,1526
06APR2013:12:00:00,1521
06APR2013:12:15:00,1520
06APR2013:12:30:00,1513
06APR2013:12:45:00,1500
06APR2013:13:00:00,1474
06APR2013:13:15:00,1433
06APR2013:13:30:00,1413
06APR2013:13:45:00,1409
06APR2013:14:00:00,1412
06APR2013:14:15:00,1425
06APR2013:14:30:00,1430
06APR2013:14:45:00,1429
06APR2013:15:00:00,1429
06APR2013:15:15:00,1427
06APR2013:15:30:00,1421
06APR2013:15:45:00,1418
06APR2013:16:00:00,1417
06APR2013:16:15:00,1415
06APR2013:16:30:00,1416
06APR2013:16:45:00,1406
06APR2013:17:00:00,1399
06APR2013:17:15:00,1398
06APR2013:17:30:00,1382
06APR2013:17:45:00,1365
06APR2013:18:00:00,1355
06APR2013:18:15:00,1347
06APR2013:18:30:00,1343
06APR2013:18:45:00,1347
06APR2013:19:00:00,1371
06APR2013:19:15:00,1414
06APR2013:19:30:00,1449
06APR2013:19:45:00,1455
06APR2013:20:00:00,1453
06APR2013:20:15:00,1440
06APR2013:20:30:00,1433
06APR2013:20:45:00,1422
06APR2013:21:00:00,1407
06APR2013:21:15:00,1389
06APR2013:21:30:00,1373
06APR2013:21:45:00,1354
06APR2013:22:00:00,1333
06APR2013:22:15:00,1310
06APR2013:22:30:00,1302
06APR2013:22:45:00,1296
06APR2013:23:00:00,1295
06APR2013:23:15:00,1288
06APR2013:23:30:00,1287
06APR2013:23:45:00,1269
07APR2013:00:00:00,1248
07APR2013:00:15:00,1225
07APR2013:00:30:00,1206
07APR2013:00:45:00,1175
07APR2013:01:00:00,1135
07APR2013:01:15:00,1101
07APR2013:01:30:00,1069
07APR2013:01:45:00,1043
07APR2013:02:00:00,1018
07APR2013:02:15:00,1000
07APR2013:02:30:00,986
07APR2013:02:45:00,972
07APR2013:03:00:00,961
07APR2013:03:15:00,950
07APR2013:03:30:00,939
07APR2013:03:45:00,931
07APR2013:04:00:00,921
07APR2013:04:15:00,915
07APR2013:04:30:00,908
07APR2013:04:45:00,903
07APR2013:05:00:00,901
07APR2013:05:15:00,899
07APR2013:05:30:00,903
07APR2013:05:45:00,901
07APR2013:06:00:00,905
07APR2013:06:15:00,907
07APR2013:06:30:00,900
07APR2013:06:45:00,888
07APR2013:07:00:00,881
07APR2013:07:15:00,892
07APR2013:07:30:00,894
07APR2013:07:45:00,905
07APR2013:08:00:00,914
07APR2013:08:15:00,932
07APR2013:08:30:00,943
07APR2013:08:45:00,969
07APR2013:09:00:00,982
07APR2013:09:15:00,1008
07APR2013:09:30:00,1038
07APR2013:09:45:00,1058
07APR2013:10:00:00,1080
07APR2013:10:15:00,1097
07APR2013:10:30:00,1117
07APR2013:10:45:00,1135
07APR2013:11:00:00,1152
07APR2013:11:15:00,1158
07APR2013:11:30:00,1166
07APR2013:11:45:00,1168
07APR2013:12:00:00,1173
07APR2013:12:15:00,1174
07APR2013:12:30:00,1172
07APR2013:12:45:00,1168
07APR2013:13:00:00,1166
07APR2013:13:15:00,1157
07APR2013:13:30:00,1149
07APR2013:13:45:00,1139
07APR2013:14:00:00,1135
07APR2013:14:15:00,1132
07APR2013:14:30:00,1136
07APR2013:14:45:00,1128
07APR2013:15:00:00,1128
07APR2013:15:15:00,1121
07APR2013:15:30:00,1121
07APR2013:15:45:00,1114
07APR2013:16:00:00,1106
07APR2013:16:15:00,1107
07APR2013:16:30:00,1103
07APR2013:16:45:00,1103
07APR2013:17:00:00,1087
07APR2013:17:15:00,1089
07APR2013:17:30:00,1079
07APR2013:17:45:00,1077
07APR2013:18:00:00,1073
07APR2013:18:15:00,1069
07APR2013:18:30:00,1069
07APR2013:18:45:00,1084
07APR2013:19:00:00,1114
07APR2013:19:15:00,1178
07APR2013:19:30:00,1229
07APR2013:19:45:00,1247
07APR2013:20:00:00,1261
07APR2013:20:15:00,1263
07APR2013:20:30:00,1265
07APR2013:20:45:00,1266
07APR2013:21:00:00,1269
07APR2013:21:15:00,1268
07APR2013:21:30:00,1270
07APR2013:21:45:00,1271
07APR2013:22:00:00,1267
07APR2013:22:15:00,1264
07APR2013:22:30:00,1265
07APR2013:22:45:00,1254
07APR2013:23:00:00,1261
07APR2013:23:15:00,1250
07APR2013:23:30:00,1241
07APR2013:23:45:00,1229
08APR2013:00:00:00,1203
08APR2013:00:15:00,1181
08APR2013:00:30:00,1163
08APR2013:00:45:00,1127
08APR2013:01:00:00,1086
08APR2013:01:15:00,1054
08APR2013:01:30:00,1025
08APR2013:01:45:00,1003
08APR2013:02:00:00,984
08APR2013:02:15:00,965
08APR2013:02:30:00,950
08APR2013:02:45:00,934
08APR2013:03:00:00,925
08APR2013:03:15:00,916
08APR2013:03:30:00,899
08APR2013:03:45:00,893
08APR2013:04:00:00,883
08APR2013:04:15:00,878
08APR2013:04:30:00,874
08APR2013:04:45:00,869
08APR2013:05:00:00,870
08APR2013:05:15:00,874
08APR2013:05:30:00,880
08APR2013:05:45:00,892
08APR2013:06:00:00,910
08APR2013:06:15:00,934
08APR2013:06:30:00,941
08APR2013:06:45:00,939
08APR2013:07:00:00,941
08APR2013:07:15:00,956
08APR2013:07:30:00,981
08APR2013:07:45:00,1002
08APR2013:08:00:00,1034
08APR2013:08:15:00,1068
08APR2013:08:30:00,1110
08APR2013:08:45:00,1158
08APR2013:09:00:00,1206
08APR2013:09:15:00,1257
08APR2013:09:30:00,1299
08APR2013:09:45:00,1346
08APR2013:10:00:00,1387
08APR2013:10:15:00,1422
08APR2013:10:30:00,1456
08APR2013:10:45:00,1487
08APR2013:11:00:00,1502
08APR2013:11:15:00,1516
08APR2013:11:30:00,1524
08APR2013:11:45:00,1534
08APR2013:12:00:00,1530
08APR2013:12:15:00,1538
08APR2013:12:30:00,1527
08APR2013:12:45:00,1517
08APR2013:13:00:00,1502
08APR2013:13:15:00,1464
08APR2013:13:30:00,1442
08APR2013:13:45:00,1439
08APR2013:14:00:00,1446
08APR2013:14:15:00,1457
08APR2013:14:30:00,1469
08APR2013:14:45:00,1475
08APR2013:15:00:00,1474
08APR2013:15:15:00,1480
08APR2013:15:30:00,1474
08APR2013:15:45:00,1469
08APR2013:16:00:00,1463
08APR2013:16:15:00,1458
08APR2013:16:30:00,1454
08APR2013:16:45:00,1451
08APR2013:17:00:00,1446
08APR2013:17:15:00,1434
08APR2013:17:30:00,1422
08APR2013:17:45:00,1406
08APR2013:18:00:00,1393
08APR2013:18:15:00,1372
08APR2013:18:30:00,1357
08APR2013:18:45:00,1353
08APR2013:19:00:00,1371
08APR2013:19:15:00,1408
08APR2013:19:30:00,1435
08APR2013:19:45:00,1444
08APR2013:20:00:00,1437
08APR2013:20:15:00,1428
08APR2013:20:30:00,1418
08APR2013:20:45:00,1400
08APR2013:21:00:00,1387
08APR2013:21:15:00,1370
08APR2013:21:30:00,1348
08APR2013:21:45:00,1341
08APR2013:22:00:00,1327
08APR2013:22:15:00,1312
08APR2013:22:30:00,1303
08APR2013:22:45:00,1288
08APR2013:23:00:00,1282
08APR2013:23:15:00,1277
08APR2013:23:30:00,1264
08APR2013:23:45:00,1250
09APR2013:00:00:00,1225
09APR2013:00:15:00,1191
09APR2013:00:30:00,1160
09APR2013:00:45:00,1118
09APR2013:01:00:00,1075
09APR2013:01:15:00,1052
09APR2013:01:30:00,1025
09APR2013:01:45:00,996
09APR2013:02:00:00,979
09APR2013:02:15:00,958
09APR2013:02:30:00,951
09APR2013:02:45:00,935
09APR2013:03:00:00,927
09APR2013:03:15:00,915
09APR2013:03:30:00,907
09APR2013:03:45:00,901
09APR2013:04:00:00,896
09APR2013:04:15:00,890
09APR2013:04:30:00,881
09APR2013:04:45:00,883
09APR2013:05:00:00,881
09APR2013:05:15:00,883
09APR2013:05:30:00,893
09APR2013:05:45:00,904
09APR2013:06:00:00,925
09APR2013:06:15:00,944
09APR2013:06:30:00,953
09APR2013:06:45:00,952
09APR2013:07:00:00,962
09APR2013:07:15:00,978
09APR2013:07:30:00,999
09APR2013:07:45:00,1020
09APR2013:08:00:00,1054
09APR2013:08:15:00,1090
09APR2013:08:30:00,1135
09APR2013:08:45:00,1183
09APR2013:09:00:00,1234
09APR2013:09:15:00,1292
09APR2013:09:30:00,1349
09APR2013:09:45:00,1388
09APR2013:10:00:00,1428
09APR2013:10:15:00,1465
09APR2013:10:30:00,1487
09APR2013:10:45:00,1508
09APR2013:11:00:00,1527
09APR2013:11:15:00,1549
09APR2013:11:30:00,1559
09APR2013:11:45:00,1567
09APR2013:12:00:00,1570
09APR2013:12:15:00,1566
09APR2013:12:30:00,1564
09APR2013:12:45:00,1550
09APR2013:13:00:00,1531
09APR2013:13:15:00,1496
09APR2013:13:30:00,1479
09APR2013:13:45:00,1473
09APR2013:14:00:00,1478
09APR2013:14:15:00,1490
09APR2013:14:30:00,1503
09APR2013:14:45:00,1508
09APR2013:15:00:00,1509
09APR2013:15:15:00,1505
09APR2013:15:30:00,1505
09APR2013:15:45:00,1505
09APR2013:16:00:00,1500
09APR2013:16:15:00,1501
09APR2013:16:30:00,1500
09APR2013:16:45:00,1498
09APR2013:17:00:00,1497
09APR2013:17:15:00,1491
09APR2013:17:30:00,1475
09APR2013:17:45:00,1457
09APR2013:18:00:00,1431
09APR2013:18:15:00,1407
09APR2013:18:30:00,1398
09APR2013:18:45:00,1401
09APR2013:19:00:00,1419
09APR2013:19:15:00,1457
09APR2013:19:30:00,1481
09APR2013:19:45:00,1486
09APR2013:20:00:00,1486
09APR2013:20:15:00,1473
09APR2013:20:30:00,1461
09APR2013:20:45:00,1448
09APR2013:21:00:00,1434
09APR2013:21:15:00,1409
09APR2013:21:30:00,1393
09APR2013:21:45:00,1376
09APR2013:22:00:00,1363
09APR2013:22:15:00,1353
09APR2013:22:30:00,1352
09APR2013:22:45:00,1346
09APR2013:23:00:00,1338
09APR2013:23:15:00,1322
09APR2013:23:30:00,1313
09APR2013:23:45:00,1292
10APR2013:00:00:00,1258
10APR2013:00:15:00,1219
10APR2013:00:30:00,1184
10APR2013:00:45:00,1156
10APR2013:01:00:00,1121
10APR2013:01:15:00,1091
10APR2013:01:30:00,1067
10APR2013:01:45:00,1040
10APR2013:02:00:00,1019
10APR2013:02:15:00,1001
10APR2013:02:30:00,984
10APR2013:02:45:00,973
10APR2013:03:00:00,960
10APR2013:03:15:00,945
10APR2013:03:30:00,938
10APR2013:03:45:00,928
10APR2013:04:00:00,917
10APR2013:04:15:00,913
10APR2013:04:30:00,907
10APR2013:04:45:00,905
10APR2013:05:00:00,904
10APR2013:05:15:00,906
10APR2013:05:30:00,916
10APR2013:05:45:00,927
10APR2013:06:00:00,940
10APR2013:06:15:00,958
10APR2013:06:30:00,963
10APR2013:06:45:00,967
10APR2013:07:00:00,973
10APR2013:07:15:00,992
10APR2013:07:30:00,1018
10APR2013:07:45:00,1038
10APR2013:08:00:00,1074
10APR2013:08:15:00,1108
10APR2013:08:30:00,1148
10APR2013:08:45:00,1196
10APR2013:09:00:00,1245
10APR2013:09:15:00,1295
10APR2013:09:30:00,1347
10APR2013:09:45:00,1395
10APR2013:10:00:00,1431
10APR2013:10:15:00,1460
10APR2013:10:30:00,1489
10APR2013:10:45:00,1519
10APR2013:11:00:00,1536
10APR2013:11:15:00,1545
10APR2013:11:30:00,1552
10APR2013:11:45:00,1556
10APR2013:12:00:00,1555
10APR2013:12:15:00,1559
10APR2013:12:30:00,1551
10APR2013:12:45:00,1546
10APR2013:13:00:00,1529
10APR2013:13:15:00,1491
10APR2013:13:30:00,1469
10APR2013:13:45:00,1462
10APR2013:14:00:00,1471
10APR2013:14:15:00,1483
10APR2013:14:30:00,1486
10APR2013:14:45:00,1490
10APR2013:15:00:00,1494
10APR2013:15:15:00,1487
10APR2013:15:30:00,1478
10APR2013:15:45:00,1474
10APR2013:16:00:00,1466
10APR2013:16:15:00,1454
10APR2013:16:30:00,1453
10APR2013:16:45:00,1445
10APR2013:17:00:00,1441
10APR2013:17:15:00,1428
10APR2013:17:30:00,1412
10APR2013:17:45:00,1393
10APR2013:18:00:00,1377
10APR2013:18:15:00,1362
10APR2013:18:30:00,1351
10APR2013:18:45:00,1365
10APR2013:19:00:00,1384
10APR2013:19:15:00,1416
10APR2013:19:30:00,1446
10APR2013:19:45:00,1441
10APR2013:20:00:00,1439
10APR2013:20:15:00,1434
10APR2013:20:30:00,1422
10APR2013:20:45:00,1406
10APR2013:21:00:00,1393
