DATETIME,ACT_HEAT_INDEX,ACT_HUMIDITY,ACT_RAIN,ACT_TEMP,COOL_FACTOR
01APR2013:12:30:00,31.18086765,51.87,0,29.89,2.89
01APR2013:12:45:00,31.46396801,50.42,0,30.23,3.23
01APR2013:13:00:00,31.72525515,48.98,0,30.56,3.56
01APR2013:13:15:00,31.79464272,47.45,0,30.78,3.78
01APR2013:13:30:00,32.38483357,45.88,0,31.35,4.35
01APR2013:13:45:00,32.41854916,44.42,0,31.55,4.55
01APR2013:14:00:00,32.6554534,43.09,0,31.87,4.87
01APR2013:14:15:00,32.96564374,41.85,0,32.23,5.23
01APR2013:14:30:00,33.08202956,40.43,0,32.49,5.49
01APR2013:14:45:00,33.01533093,38.63,0,32.68,5.68
01APR2013:15:00:00,33.2534671,38.25,0,32.89,5.89
01APR2013:15:15:00,33.14863136,38.78,0,32.75,5.75
01APR2013:15:30:00,32.91085956,39.32,0,32.52,5.52
01APR2013:15:45:00,32.54323757,39.79,0,32.21,5.21
01APR2013:16:00:00,32.48373971,40.98,0,32.02,5.02
01APR2013:16:15:00,32.2787022,41.79,0,31.78,4.78
01APR2013:16:30:00,32.11860015,42.45,0,31.59,4.59
01APR2013:16:45:00,32.02697047,43.09,0,31.45,4.45
01APR2013:17:00:00,32.10875868,44.88,0,31.29,4.29
01APR2013:17:15:00,31.93506421,45.42,0,31.11,4.11
01APR2013:17:30:00,31.85825315,46.09,0,30.98,3.98
01APR2013:17:45:00,31.85260828,47.78,0,30.78,3.78
01APR2013:18:00:00,31.65091839,48.55,0,30.56,3.56
01APR2013:18:15:00,31.52293357,49.95,0,30.32,3.32
01APR2013:18:30:00,31.3532026,50.49,0,30.15,3.15
01APR2013:18:45:00,31.28428052,51.28,0,30.02,3.02
01APR2013:19:00:00,31.15916267,51.83,0,29.88,2.88
01APR2013:19:15:00,30.83308791,52.16,0,29.63,2.63
01APR2013:19:30:00,30.46621186,52.47,0,29.35,2.35
01APR2013:19:45:00,30.26014894,52.75,0,29.18,2.18
01APR2013:20:00:00,30.18892536,53.92,0,29.02,2.02
01APR2013:20:15:00,30.03637816,55.62,0,28.76,1.76
01APR2013:20:30:00,29.8409432,56.37,0,28.56,1.56
01APR2013:20:45:00,29.80540041,57.38,0,28.45,1.45
01APR2013:21:00:00,29.72332702,58.65,0,28.29,1.29
01APR2013:21:15:00,29.56971666,59.49,0,28.12,1.12
01APR2013:21:30:00,29.16665138,58.84,0,27.89,0.89
01APR2013:21:45:00,28.93576968,59.46,0,27.68,0.68
01APR2013:22:00:00,28.67729375,60.23,0,27.44,0.44
01APR2013:22:15:00,28.59662997,61.35,0,27.31,0.31
01APR2013:22:30:00,28.46995678,61.98,0,27.18,0.18
01APR2013:22:45:00,28.37395231,62.68,0,27.07,0.07
01APR2013:23:00:00,28.15587517,63.25,0,26.88,0
01APR2013:23:15:00,27.06892222,63.78,0,26.68,0
01APR2013:23:30:00,26.83080556,64.35,0,26.45,0
01APR2013:23:45:00,26.72152222,65.22,0,26.33,0
02APR2013:00:00:00,26.58501667,65.89,0,26.19,0
02APR2013:00:15:00,26.42102778,66.35,0,26.03,0
02APR2013:00:30:00,26.15333889,66.63,0,25.78,0
02APR2013:00:45:00,26.01712778,66.89,0,25.65,0
02APR2013:01:00:00,25.74914444,67.58,0,25.39,0
02APR2013:01:15:00,25.50525,68.35,0,25.15,0
02APR2013:01:30:00,25.12308889,68.88,0,24.79,0
02APR2013:01:45:00,24.91062778,69.59,0,24.58,0
02APR2013:02:00:00,24.80607778,70.22,0,24.47,0
02APR2013:02:15:00,24.66957222,70.89,0,24.33,0
02APR2013:02:30:00,24.47858889,71.58,0,24.14,0
02APR2013:02:45:00,24.23495556,72.36,0,23.9,0
02APR2013:03:00:00,24.05892222,72.78,0,23.73,0
02APR2013:03:15:00,23.93628889,73.56,0,23.6,0
02APR2013:03:30:00,23.81992222,74.58,0,23.47,0
02APR2013:03:45:00,23.73260556,75.87,0,23.36,0
02APR2013:04:00:00,23.72075556,76.68,0,23.33,0
02APR2013:04:15:00,23.68102778,78.95,0,23.24,0
02APR2013:04:30:00,23.52490556,79.29,0,23.09,0
02APR2013:04:45:00,23.39757222,79.89,0,22.96,0
02APR2013:05:00:00,23.26397222,80.25,0,22.83,0
02APR2013:05:15:00,23.12723889,80.49,0,22.7,0
02APR2013:05:30:00,23.00095,81.13,0,22.57,0
02APR2013:05:45:00,22.8917,81.58,0,22.46,0
02APR2013:06:00:00,22.80418889,82.02,0,22.37,0
02APR2013:06:15:00,22.70995556,81.36,0,22.3,0
02APR2013:06:30:00,22.68557222,81.69,0,22.27,0
02APR2013:06:45:00,22.65906667,82.36,0,22.23,0
02APR2013:07:00:00,22.49403333,82.78,0,22.07,0
02APR2013:07:15:00,22.57517778,83.36,0,22.13,0
02APR2013:07:30:00,22.7643,83.02,0,22.31,0
02APR2013:07:45:00,23.13546111,82.49,0,22.66,0
02APR2013:08:00:00,23.77408333,81.25,0,23.27,0
02APR2013:08:15:00,23.96323889,80.49,0,23.46,0
02APR2013:08:30:00,24.52652778,78.05,0,24.03,0
02APR2013:08:45:00,24.88068333,77.29,0,24.37,0
02APR2013:09:00:00,25.34647222,75.75,0,24.83,0
02APR2013:09:15:00,25.65297222,74.85,0,25.13,0
02APR2013:09:30:00,26.12208889,74.28,0,25.57,0
02APR2013:09:45:00,26.57136111,72.95,0,26.01,0
02APR2013:10:00:00,26.88047222,72.15,0,26.31,0
02APR2013:10:15:00,27.10876667,69.94,0,26.57,0
02APR2013:10:30:00,29.38399264,69.05,0,27.36,0.36
02APR2013:10:45:00,29.94084866,66.68,0,27.83,0.83
02APR2013:11:00:00,30.29341936,65.45,0,28.12,1.12
02APR2013:11:15:00,30.86932937,63.88,0,28.57,1.57
02APR2013:11:30:00,31.09998864,61.55,0,28.9,1.9
02APR2013:11:45:00,31.37377892,59.88,0,29.21,2.21
02APR2013:12:00:00,31.74164815,58.45,0,29.56,2.56
02APR2013:12:15:00,32.28220058,56.78,0,30.04,3.04
02APR2013:12:30:00,32.85068482,54.87,0,30.57,3.57
02APR2013:12:45:00,33.1585915,53.42,0,30.91,3.91
02APR2013:13:00:00,33.43991148,51.98,0,31.24,4.24
02APR2013:13:15:00,33.49611619,50.45,0,31.46,4.46
02APR2013:13:30:00,34.15263506,48.88,0,32.03,5.03
02APR2013:13:45:00,34.16643183,47.42,0,32.23,5.23
02APR2013:14:00:00,34.41548973,46.09,0,32.55,5.55
02APR2013:14:15:00,34.74881588,44.85,0,32.91,5.91
02APR2013:14:30:00,34.85484934,43.43,0,33.17,6.17
02APR2013:14:45:00,34.74225735,41.63,0,33.36,6.36
02APR2013:15:00:00,35.00673642,41.25,0,33.57,6.57
02APR2013:15:15:00,34.89786741,41.78,0,33.43,6.43
02APR2013:15:30:00,34.63668083,42.32,0,33.2,6.2
02APR2013:15:45:00,34.2245644,42.79,0,32.89,5.89
02APR2013:16:00:00,34.17909662,43.98,0,32.7,5.7
02APR2013:16:15:00,33.95843511,44.79,0,32.46,5.46
02APR2013:16:30:00,33.78605271,45.45,0,32.27,5.27
02APR2013:16:45:00,33.69177187,46.09,0,32.13,5.13
02APR2013:17:00:00,33.8170443,47.88,0,31.97,4.97
02APR2013:17:15:00,33.62547425,48.42,0,31.79,4.79
02APR2013:17:30:00,33.5477186,49.09,0,31.66,4.66
02APR2013:17:45:00,33.56857118,50.78,0,31.46,4.46
02APR2013:18:00:00,33.3468805,51.55,0,31.24,4.24
02APR2013:18:15:00,33.21996036,52.95,0,31,4
02APR2013:18:30:00,33.0307157,53.49,0,30.83,3.83
02APR2013:18:45:00,32.96240321,54.28,0,30.7,3.7
02APR2013:19:00:00,32.82475031,54.83,0,30.56,3.56
02APR2013:19:15:00,32.44856087,55.16,0,30.31,3.31
02APR2013:19:30:00,32.02302777,55.47,0,30.03,3.03
02APR2013:19:45:00,31.78486982,55.75,0,29.86,2.86
02APR2013:20:00:00,31.71790505,56.92,0,29.7,2.7
02APR2013:20:15:00,31.45257813,57.96,0,29.44,2.44
02APR2013:20:30:00,31.21591501,58.58,0,29.24,2.24
02APR2013:20:45:00,31.12567857,59.18,0,29.13,2.13
02APR2013:21:00:00,30.97213562,59.93,0,28.97,1.97
02APR2013:21:15:00,30.75464382,60.38,0,28.8,1.8
02APR2013:21:30:00,30.45527369,60.95,0,28.57,1.57
02APR2013:21:45:00,30.21908728,61.75,0,28.36,1.36
02APR2013:22:00:00,29.89476185,62.25,0,28.12,1.12
02APR2013:22:15:00,29.7213816,62.53,0,27.99,0.99
02APR2013:22:30:00,29.60112461,63.28,0,27.86,0.86
02APR2013:22:45:00,29.35843971,63.95,0,27.66,0.66
02APR2013:23:00:00,28.77500172,64.58,0,27.24,0.24
02APR2013:23:15:00,28.55622419,65.17,0,27.06,0.06
02APR2013:23:30:00,28.26975905,65.85,0,26.83,0
02APR2013:23:45:00,27.01581111,66.38,0,26.57,0
03APR2013:00:00:00,26.7633,66.82,0,26.33,0
03APR2013:00:15:00,26.28918889,67.62,0,25.88,0
03APR2013:00:30:00,26.12180556,67.95,0,25.72,0
03APR2013:00:45:00,26.00811667,68.23,0,25.61,0
03APR2013:01:00:00,25.87608333,68.65,0,25.48,0
03APR2013:01:15:00,25.81373889,68.79,0,25.42,0
03APR2013:01:30:00,25.73957778,69.32,0,25.34,0
03APR2013:01:45:00,25.61067778,69.86,0,25.21,0
03APR2013:02:00:00,25.55225,70.15,0,25.15,0
03APR2013:02:15:00,25.50586667,70.48,0,25.1,0
03APR2013:02:30:00,25.40389444,71.63,0,24.98,0
03APR2013:02:45:00,25.30348889,72.84,0,24.86,0
03APR2013:03:00:00,25.14106667,73.36,0,24.7,0
03APR2013:03:15:00,25.12742222,73.68,0,24.68,0
03APR2013:03:30:00,24.99770556,74.61,0,24.54,0
03APR2013:03:45:00,24.88763889,75.45,0,24.42,0
03APR2013:04:00:00,24.79435,76.09,0,24.32,0
03APR2013:04:15:00,24.75713889,76.35,0,24.28,0
03APR2013:04:30:00,24.63923889,76.89,0,24.16,0
03APR2013:04:45:00,24.53547222,77.55,0,24.05,0
03APR2013:05:00:00,24.47936111,78.35,0,23.98,0
03APR2013:05:15:00,24.14531111,79.88,0,23.64,0
03APR2013:05:30:00,24.0138,80.32,0,23.51,0
03APR2013:05:45:00,23.99463889,80.85,0,23.48,0
03APR2013:06:00:00,23.90030556,81.45,0,23.38,0
03APR2013:06:15:00,23.80365556,81.54,0,23.29,0
03APR2013:06:30:00,23.67505,81.67,0,23.17,0
03APR2013:06:45:00,23.61263889,82.65,0,23.09,0
03APR2013:07:00:00,23.60101667,83.89,0,23.05,0
03APR2013:07:15:00,23.83753333,83.68,0,23.27,0
03APR2013:07:30:00,23.91887778,81.74,0,23.39,0
03APR2013:07:45:00,24.10437778,80.84,0,23.58,0
03APR2013:08:00:00,24.38652778,79.85,0,23.86,0
03APR2013:08:15:00,24.91534444,79.46,0,24.35,0
03APR2013:08:30:00,25.20147778,77.78,0,24.65,0
03APR2013:08:45:00,25.81425,75.55,0,25.26,0
03APR2013:09:00:00,26.23868333,73.69,0,25.69,0
03APR2013:09:15:00,26.82775556,73.08,0,26.24,0
03APR2013:09:30:00,28.56034659,71.65,0,26.75,0
03APR2013:09:45:00,29.20622307,69.35,0,27.24,0.24
03APR2013:10:00:00,29.54809701,68.45,0,27.49,0.49
03APR2013:10:15:00,29.96565207,66.45,0,27.86,0.86
03APR2013:10:30:00,30.31893204,64.18,0,28.23,1.23
03APR2013:10:45:00,30.87976799,62.63,0,28.68,1.68
03APR2013:11:00:00,31.01089428,61.08,0,28.89,1.89
03APR2013:11:15:00,31.66896516,60.18,0,29.35,2.35
03APR2013:11:30:00,31.87066577,58.09,0,29.67,2.67
03APR2013:11:45:00,32.14894574,56.63,0,29.98,2.98
03APR2013:12:00:00,32.36522735,55.18,0,30.26,3.26
03APR2013:12:15:00,32.43876344,53.05,0,30.54,3.54
03APR2013:12:30:00,33.26213055,50.99,0,31.26,4.26
03APR2013:12:45:00,33.24996404,49.63,0,31.42,4.42
03APR2013:13:00:00,33.59766421,49.08,0,31.69,4.69
03APR2013:13:15:00,33.87033874,48.27,0,31.95,4.95
03APR2013:13:30:00,34.2664759,47.62,0,32.26,5.26
03APR2013:13:45:00,34.52942232,47.08,0,32.48,5.48
03APR2013:14:00:00,34.82218161,45.65,0,32.84,5.84
03APR2013:14:15:00,35.30792251,45.29,0,33.16,6.16
03APR2013:14:30:00,35.43251806,43.96,0,33.42,6.42
03APR2013:14:45:00,35.29300063,41.84,0,33.65,6.65
03APR2013:15:00:00,35.09057417,40.35,0,33.75,6.75
03APR2013:15:15:00,35.14637821,41.26,0,33.65,6.65
03APR2013:15:30:00,34.81981825,41.53,0,33.42,6.42
03APR2013:15:45:00,34.75558146,42.53,0,33.24,6.24
03APR2013:16:00:00,34.14935165,42.68,0,32.86,5.86
03APR2013:16:15:00,33.81890057,42.75,0,32.65,5.65
03APR2013:16:30:00,33.62573519,43.36,0,32.45,5.45
03APR2013:16:45:00,33.73495949,44.69,0,32.34,5.34
03APR2013:17:00:00,34.00618824,46.35,0,32.28,5.28
03APR2013:17:15:00,33.98157415,48.68,0,31.96,4.96
03APR2013:17:30:00,33.9545856,50.35,0,31.73,4.73
03APR2013:17:45:00,33.78983102,51.53,0,31.49,4.49
03APR2013:18:00:00,33.53893499,51.86,0,31.31,4.31
03APR2013:18:15:00,33.3950778,52.35,0,31.17,4.17
03APR2013:18:30:00,33.15331327,53.65,0,30.88,3.88
03APR2013:18:45:00,32.91651164,54.23,0,30.68,3.68
03APR2013:19:00:00,32.76103601,54.69,0,30.54,3.54
03APR2013:19:15:00,32.59657914,55.65,0,30.34,3.34
03APR2013:19:30:00,32.39524179,56.35,0,30.15,3.15
03APR2013:19:45:00,31.96232498,56.75,0,29.86,2.86
03APR2013:20:00:00,31.75368237,57.62,0,29.65,2.65
03APR2013:20:15:00,31.68969,58.35,0,29.54,2.54
03APR2013:20:30:00,31.52860258,59.45,0,29.34,2.34
03APR2013:20:45:00,31.32834151,60.35,0,29.14,2.14
03APR2013:21:00:00,31.1903341,61.57,0,28.95,1.95
03APR2013:21:15:00,30.82148414,62.35,0,28.67,1.67
03APR2013:21:30:00,30.61739922,62.48,0,28.54,1.54
03APR2013:21:45:00,30.58873483,63.38,0,28.45,1.45
03APR2013:22:00:00,30.43070013,63.86,0,28.32,1.32
03APR2013:22:15:00,30.33417218,64.56,0,28.21,1.21
03APR2013:22:30:00,30.01756846,65.59,0,27.95,0.95
03APR2013:22:45:00,30.01546625,66.87,0,27.86,0.86
03APR2013:23:00:00,29.81860391,68.52,0,27.64,0.64
03APR2013:23:15:00,29.40752772,69.64,0,27.34,0.34
03APR2013:23:30:00,28.4419261,70.23,0,26.74,0
03APR2013:23:45:00,27.10602222,71.52,0,26.53,0
04APR2013:00:00:00,26.9939,71.86,0,26.42,0
04APR2013:00:15:00,26.80608333,72.25,0,26.24,0
04APR2013:00:30:00,26.64653333,72.88,0,26.08,0
04APR2013:00:45:00,26.54563889,73.65,0,25.97,0
04APR2013:01:00:00,26.42091667,74.35,0,25.84,0
04APR2013:01:15:00,26.36614444,74.78,0,25.78,0
04APR2013:01:30:00,26.24690556,75.69,0,25.65,0
04APR2013:01:45:00,25.93413889,76.35,0,25.35,0
04APR2013:02:00:00,25.69523889,76.89,0,25.12,0
04APR2013:02:15:00,25.33063889,77.25,0,24.78,0
04APR2013:02:30:00,25.09673333,77.56,0,24.56,0
04APR2013:02:45:00,24.87408889,77.88,0,24.35,0
04APR2013:03:00:00,24.66557778,78.32,0,24.15,0
04APR2013:03:15:00,24.57046111,78.89,0,24.05,0
04APR2013:03:30:00,24.42847222,79.35,0,23.91,0
04APR2013:03:45:00,24.30195556,79.56,0,23.79,0
04APR2013:04:00:00,24.20057222,79.89,0,23.69,0
04APR2013:04:15:00,24.16597222,80.25,0,23.65,0
04APR2013:04:30:00,24.04441667,80.65,0,23.53,0
04APR2013:04:45:00,23.92916111,80.87,0,23.42,0
04APR2013:05:00:00,23.8613,81.22,0,23.35,0
04APR2013:05:15:00,23.49774444,81.62,0,23.01,0
04APR2013:05:30:00,23.36153333,81.88,0,22.88,0
04APR2013:05:45:00,23.34080556,82.35,0,22.85,0
04APR2013:06:00:00,23.23628889,82.56,0,22.75,0
04APR2013:06:15:00,23.14303333,82.78,0,22.66,0
04APR2013:06:30:00,23.02330556,83.25,0,22.54,0
04APR2013:06:45:00,22.94522778,83.63,0,22.46,0
04APR2013:07:00:00,22.90514444,83.78,0,22.42,0
04APR2013:07:15:00,23.11528889,82.56,0,22.64,0
04APR2013:07:30:00,23.21256111,81.23,0,22.76,0
04APR2013:07:45:00,23.39545,80.23,0,22.95,0
04APR2013:08:00:00,23.69378889,79.86,0,23.23,0
04APR2013:08:15:00,24.21686111,79.25,0,23.72,0
04APR2013:08:30:00,24.52336111,78.35,0,24.02,0
04APR2013:08:45:00,25.15075556,76.68,0,24.63,0
04APR2013:09:00:00,25.58641667,75.25,0,25.06,0
04APR2013:09:15:00,26.13945556,73.26,0,25.61,0
04APR2013:09:30:00,26.65058333,71.35,0,26.12,0
04APR2013:09:45:00,27.16033889,70.23,0,26.61,0
04APR2013:10:00:00,28.49813277,68.36,0,26.86,0
04APR2013:10:15:00,28.96398851,66.89,0,27.23,0.23
04APR2013:10:30:00,29.51079745,66.32,0,27.6,0.6
04APR2013:10:45:00,30.21342826,65.78,0,28.05,1.05
04APR2013:11:00:00,30.51264449,65.25,0,28.26,1.26
04APR2013:11:15:00,31.29163144,64.88,0,28.72,1.72
04APR2013:11:30:00,31.84243323,64.56,0,29.04,2.04
04APR2013:11:45:00,32.38930969,64.25,0,29.35,2.35
04APR2013:12:00:00,32.90418513,64.02,0,29.63,2.63
04APR2013:12:15:00,33.40754223,63.68,0,29.91,2.91
04APR2013:12:30:00,34.72974102,62.76,0,30.63,3.63
04APR2013:12:45:00,34.70195463,61.23,0,30.79,3.79
04APR2013:13:00:00,34.94560522,59.89,0,31.06,4.06
04APR2013:13:15:00,34.93394064,57.68,0,31.32,4.32
04APR2013:13:30:00,35.02198558,55.53,0,31.63,4.63
04APR2013:13:45:00,35.04326547,53.89,0,31.85,4.85
04APR2013:14:00:00,35.39413655,52.49,0,32.21,5.21
04APR2013:14:15:00,35.70013843,51.26,0,32.53,5.53
04APR2013:14:30:00,35.71058137,49.42,0,32.79,5.79
04APR2013:14:45:00,35.73830893,47.89,0,33.02,6.02
04APR2013:15:00:00,35.60094534,46.68,0,33.12,6.12
04APR2013:15:15:00,35.46154895,46.86,0,33.02,6.02
04APR2013:15:30:00,35.13060789,47.23,0,32.79,5.79
04APR2013:15:45:00,34.88326777,47.56,0,32.61,5.61
04APR2013:16:00:00,34.28404335,47.92,0,32.23,5.23
04APR2013:16:15:00,34.00482499,48.32,0,32.02,5.02
04APR2013:16:30:00,33.70861205,48.56,0,31.82,4.82
04APR2013:16:45:00,33.58833986,48.88,0,31.71,4.71
04APR2013:17:00:00,33.66056672,49.68,0,31.65,4.65
04APR2013:17:15:00,33.22013471,50.22,0,31.33,4.33
04APR2013:17:30:00,32.93782572,50.76,0,31.1,4.1
04APR2013:17:45:00,32.69475585,51.58,0,30.86,3.86
04APR2013:18:00:00,32.53700757,52.33,0,30.68,3.68
04APR2013:18:15:00,32.40609249,52.88,0,30.54,3.54
04APR2013:18:30:00,32.06987349,53.69,0,30.25,3.25
04APR2013:18:45:00,31.83778145,54.25,0,30.05,3.05
04APR2013:19:00:00,31.85690052,55.68,0,29.91,2.91
04APR2013:19:15:00,31.63662404,56.35,0,29.71,2.71
04APR2013:19:30:00,31.40981862,56.89,0,29.52,2.52
04APR2013:19:45:00,31.05762715,57.68,0,29.23,2.23
04APR2013:20:00:00,30.86795513,58.69,0,29.02,2.02
04APR2013:20:15:00,30.75620716,59.15,0,28.91,1.91
04APR2013:20:30:00,30.53656577,59.89,0,28.71,1.71
04APR2013:20:45:00,30.4113608,61.35,0,28.51,1.51
04APR2013:21:00:00,30.17212615,61.89,0,28.32,1.32
04APR2013:21:15:00,29.81959488,62.69,0,28.04,1.04
04APR2013:21:30:00,29.73554269,63.76,0,27.91,0.91
04APR2013:21:45:00,29.65012558,64.29,0,27.82,0.82
04APR2013:22:00:00,29.61398825,65.89,0,27.69,0.69
04APR2013:22:15:00,29.48080217,66.35,0,27.58,0.58
04APR2013:22:30:00,29.19290291,67.78,0,27.32,0.32
04APR2013:22:45:00,29.11867635,68.59,0,27.23,0.23
04APR2013:23:00:00,29.05023818,69.32,0,27.15,0.15
04APR2013:23:15:00,28.66229384,69.88,0,26.89,0
04APR2013:23:30:00,28.53363248,70.59,0,26.78,0
04APR2013:23:45:00,27.24768333,71.89,0,26.65,0
05APR2013:00:00:00,27.20100556,72.63,0,26.59,0
05APR2013:00:15:00,29.524592,72.67,0,27.24,0.24
05APR2013:00:30:00,27.30914444,72.98,0,26.68,0
05APR2013:00:45:00,26.94581667,73.81,0,26.33,0
05APR2013:01:00:00,26.59952778,74.45,0,26,0
05APR2013:01:15:00,26.27811111,75.2,0,25.69,0
05APR2013:01:30:00,25.84538889,75.9,0,25.28,0
05APR2013:01:45:00,25.63080556,76.95,0,25.06,0
05APR2013:02:00:00,25.43564444,77.48,0,24.87,0
05APR2013:02:15:00,25.08439444,77.93,0,24.54,0
05APR2013:02:30:00,24.85499444,77.57,0,24.34,0
05APR2013:02:45:00,24.70386667,77.68,0,24.2,0
05APR2013:03:00:00,24.5734,78.16,0,24.07,0
05APR2013:03:15:00,24.391,79.6,0,23.87,0
05APR2013:03:30:00,24.15503889,79.41,0,23.66,0
05APR2013:03:45:00,24.02512778,79.49,0,23.54,0
05APR2013:04:00:00,23.92061111,79.7,0,23.44,0
05APR2013:04:15:00,23.80976111,80.51,0,23.32,0
05APR2013:04:30:00,23.68298333,80.71,0,23.2,0
05APR2013:04:45:00,23.57190556,81.09,0,23.09,0
05APR2013:05:00:00,23.4684,81.76,0,22.98,0
05APR2013:05:15:00,23.11528889,82.56,0,22.64,0
05APR2013:05:30:00,22.99213333,83.32,0,22.51,0
05APR2013:05:45:00,22.99046667,84.52,0,22.48,0
05APR2013:06:00:00,22.89613333,85.12,0,22.38,0
05APR2013:06:15:00,22.80261667,85.33,0,22.29,0
05APR2013:06:30:00,22.68863333,86.02,0,22.17,0
05APR2013:06:45:00,22.61786667,86.68,0,22.09,0
05APR2013:07:00:00,22.50623333,87.46,0,21.97,0
05APR2013:07:15:00,22.70149444,85.67,0,22.19,0
05APR2013:07:30:00,22.81156111,84.83,0,22.31,0
05APR2013:07:45:00,22.99001111,83.66,0,22.5,0
05APR2013:08:00:00,23.27633889,82.83,0,22.78,0
05APR2013:08:15:00,23.79784444,82.16,0,23.27,0
05APR2013:08:30:00,24.08188889,80.4,0,23.57,0
05APR2013:08:45:00,24.70615,78.61,0,24.18,0
05APR2013:09:00:00,25.11857222,76.29,0,24.61,0
05APR2013:09:15:00,25.68440556,74.79,0,25.16,0
05APR2013:09:30:00,26.18247778,72.38,0,25.67,0
05APR2013:09:45:00,26.69484444,71.36,0,26.16,0
05APR2013:10:00:00,26.9218,69.52,0,26.41,0
05APR2013:10:15:00,28.23872564,66.45,0,26.78,0
05APR2013:10:30:00,28.71155586,65.42,0,27.15,0.15
05APR2013:10:45:00,29.2485575,63.79,0,27.6,0.6
05APR2013:11:00:00,29.4654874,62.76,0,27.81,0.81
05APR2013:11:15:00,30.1534401,62.38,0,28.27,1.27
05APR2013:11:30:00,30.4839692,60.92,0,28.59,1.59
05APR2013:11:45:00,30.92820947,60.42,0,28.9,1.9
05APR2013:12:00:00,31.43057911,60.55,0,29.18,2.18
05APR2013:12:15:00,31.7130848,59.3,0,29.46,2.46
05APR2013:12:30:00,32.74533908,57.87,0,30.18,3.18
05APR2013:12:45:00,33.01764736,56.04,0,30.53,3.53
05APR2013:13:00:00,33.58744945,56.35,0,30.8,3.8
05APR2013:13:15:00,33.80134776,55.1,0,31.06,4.06
05APR2013:13:30:00,34.042766,53.6,0,31.37,4.37
05APR2013:13:45:00,34.40133018,53.35,0,31.59,4.59
05APR2013:14:00:00,34.59112466,51.32,0,31.95,4.95
05APR2013:14:15:00,35.30394581,51.7,0,32.27,5.27
05APR2013:14:30:00,35.53500848,50.65,0,32.53,5.53
05APR2013:14:45:00,35.60889232,49.26,0,32.76,5.76
05APR2013:15:00:00,35.70226979,48.89,0,32.86,5.86
05APR2013:15:15:00,35.42427181,48.57,0,32.76,5.76
05APR2013:15:30:00,35.26451564,49.63,0,32.53,5.53
05APR2013:15:45:00,34.98910034,49.89,0,32.35,5.35
05APR2013:16:00:00,34.3589016,50.21,0,31.97,4.97
